"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Nuro",NA,NA,"5/10/2023","Travel","Mountain View, CA","Series D","The Verge",NA,"Mountain View"
"Stack Overflow",58,0.1,"5/10/2023","Software","New York City, NY","Acquired","Stack Overflow",NA,"New York City"
"SimilarWeb",60,0.06,"5/10/2023","Business","New York City, NY","Post-IPO","Calcalistech",NA,"New York City"
"Microsoft",158,NA,"5/10/2023","Business","Seattle, WA","Post-IPO","GeekWire",NA,"Seattle"
"Marqeta",NA,0.15,"5/9/2023","Finance","Oakland, CA","Post-IPO","Marqeta",NA,"Oakland"
"Sonatype",100,0.14,"5/9/2023","Cybersecurity","Fulton, MD","Acquired","The Register",NA,"Fulton"
"Akamai Technologies",290,0.03,"5/9/2023","Cloud","Cambridge, MA","Post-IPO","Boston Business Journal",NA,"Cambridge"
"LinkedIn",716,0.04,"5/8/2023","Social Related","Sunnyvale, CA","Acquired","Reuters",NA,"Sunnyvale"
"Forte",NA,NA,"5/8/2023","Gaming","San Francisco, CA","Series B","LinkedIn reports",NA,"San Francisco"
"Eventus",NA,0.33,"5/5/2023","Services","Austin, TX","Series B","The Trade",NA,"Austin"
"Shopify",NA,0.2,"5/4/2023","Business","Ottawa, Canada","Post-IPO","CNBC",NA,"Ottawa"
"Autograph",30,0.33,"5/4/2023","Cryptocurrency","Santa Monica, CA","Series B","Business Insider",NA,"Santa Monica"
"Brightline",NA,0.2,"5/3/2023","Health","Palo Alto, CA","Series C","Becker's Hospital Review",NA,"Palo Alto"
"Brightcove",NA,0.1,"5/3/2023","Advertising","Boston, MA","Post-IPO","Boston Business Journal",NA,"Boston"
"Upwork",137,0.15,"5/3/2023","Services","San Francisco, CA","Post-IPO","Upwork",NA,"San Francisco"
"Unity",600,0.08,"5/3/2023","Gaming","San Francisco, CA","Post-IPO","WSJ",NA,"San Francisco"
"Bishop Fox",50,0.13,"5/2/2023","Cloud","Tempe, AZ","Series C","TechCrunch",NA,"Tempe"
"Lev",34,NA,"5/1/2023","Prop Tech","New York City, NY","Series B","The Real Deal",NA,"New York City"
"Poparazzi",NA,1,"4/28/2023","Social Related","Marina Del Rey, CA","Series A","TechCrunch",NA,"Marina Del Rey"
"Clubhouse",NA,0.5,"4/27/2023","Social Related","San Francisco, CA","Series C","Clubhouse",NA,"San Francisco"
"Alteryx",NA,0.11,"4/27/2023","Data","Irvine, CA","Post-IPO","Orange County Business Journal",NA,"Irvine"
"Chief",43,0.14,"4/27/2023","Social Related","New York City, NY","Series B","TechCrunch",NA,"New York City"
