"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Rasa",59,0.4,"4/4/2022","AI","San Francisco, CA","Series H","Business Insider","Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K.","San Francisco"
"Gopuff",450,0.03,"3/29/2022","Business","Philadelphia, PA","Series H","The Information",NA,"Philadelphia"
"Grove Collaborative",NA,0.17,"3/29/2022","Business","San Francisco, CA","Series E","Retail Dive",NA,"San Francisco"
"Curology",150,0.2,"3/16/2022","Business","San Francisco, CA","Series D","SF Business Times",NA,"San Francisco"
"Knock",NA,0.46,"3/15/2022","Prop Tech","New York City, NY","Unknown","The Real Deal",NA,"New York City"
"Sezzle",NA,0.2,"3/10/2022","Finance","Minneapolis, MN","Post-IPO","Reuters",NA,"Minneapolis"
"Better",NA,0.33,"3/8/2022","Finance","New York City, NY","Unknown","New York Times",NA,"New York City"
"Hyperscience",100,0.25,"3/3/2022","AI","New York City, NY","Series E","The Information",NA,"New York City"
"Virgin Hyperloop",111,0.5,"2/22/2022","Travel","Los Angeles, CA","Unknown","Fortune",NA,"Los Angeles"
"Momentive",NA,0.14,"2/15/2022","Tech","Waterford, MI","Post-IPO","Crunchbase reports",NA,"Waterford"
"Homie",119,0.29,"2/14/2022","Prop Tech","South Jordan, UT","Series A","Deseret News",NA,"South Jordan"
"Hopin",138,0.12,"2/10/2022","Services","Dover, DE","Series D","TechCrunch",NA,"Dover"
"Peloton",NA,0.2,"2/8/2022","Fitness","New York City, NY","Post-IPO","TechCrunch",NA,"New York City"
"Rhino",57,0.2,"2/3/2022","Prop Tech","New York City, NY","Unknown","The Real Deal",NA,"New York City"
"Beachbody",70,0.1,"1/27/2022","Fitness","Santa Monica, CA","Unknown","Club Industry",NA,"Santa Monica"
"Gopuff",100,NA,"1/26/2022","Business","Philadelphia, PA","Series H","Business Insider",NA,"Philadelphia"
"Glossier",80,0.33,"1/26/2022","Fashion","New York City, NY","Series E","TechCrunch",NA,"New York City"
"Root Insurance",330,NA,"1/20/2022","Insurance","Columbus, OH","Post-IPO","Coverager",NA,"Columbus"
"Bizzabo",100,0.37,"1/12/2022","Services","New York City, NY","Series E","Calcalistech",NA,"New York City"
