Name,Ticker,Layoff,PctLayoff,DateLayoff,Industry,Headquarters,FinancingStage
Pure Storage,PSTG,275,0.04,2/8/2024,Cloud,"Santa Clara, CA",Post-IPO
MariaDB,MRDB,84,0.28,10/12/2023,Cloud,"Redwood City, CA",Post-IPO
Rackspace,RXT,275,NA,3/27/2023,Cloud,"San Antonio, TX",Acquired
New Relic,NEWR,212,NA,6/27/2023,Services,"Bay Area, CA",Post-IPO
NetApp,NTAP,960,0.08,1/31/2023,Cloud,"Sunnyvale, CA",Post-IPO
DigitalOcean,DOCN,200,0.11,2/15/2023,Cloud,"New York City, NY",Post-IPO
Edgio,EGIO,95,0.14,12/13/2022,Cloud,"Tempe, AZ",Post-IPO
Asana,ASAN,180,0.09,11/15/2022,Telecommunication,"San Francisco, CA",Post-IPO
Thoughtworks,TWKS,500,0.04,3/1/2023,Human Resources,"Chicago, IL",Post-IPO
Sonos,SONO,130,0.07,6/14/2023,Consumer,"Santa Barbara, CA",Post-IPO
Logitech,LOGI,300,NA,3/22/2023,Consumer,"Newark, CA",Post-IPO
Samsung,SSNLF,30,NA,3/14/2023,Consumer,"Ridgefield Park, NJ",Post-IPO
Taboola,TBLA,100,0.06,9/13/2022,Business,"New York City, NY",Post-IPO
SoundHound,SOUN,200,0.5,1/5/2023,AI,"Santa Clara, CA",Post-IPO
SoundHound,SOUN,45,0.1,11/10/2022,AI,"Santa Clara, CA",Post-IPO
Amdocs,DOX,700,0.03,1/2/2023,Customer Relationship,"Chesterfield, MO",Post-IPO
Freshworks,FRSH,90,0.02,12/15/2022,Customer Relationship,"San Mateo, CA",Post-IPO
Coinbase,COIN,950,0.2,1/10/2023,Cryptocurrency,San Francisco,Post-IPO
Coinbase,COIN,60,NA,11/10/2022,Cryptocurrency,San Francisco,Post-IPO
TaskUs,TASK,186,NA,2/22/2023,Customer Relationship,"Santa Monica, CA",Post-IPO
Sprinklr,CXM,100,0.04,2/15/2023,Customer Relationship,"New York City, NY",Post-IPO
Proofpoint,PFPT,260,0.06,1/31/2024,Cybersecurity,"Sunnyvale, CA",Acquired
Rapid7,RPD,470,0.18,8/8/2023,Cybersecurity,"Boston, MA",Post-IPO
Varonis Systems,VRNS,110,NA,11/6/2022,Cybersecurity,"New York City, NY",Post-IPO
HashiCorp,HCP,69,NA,1/11/2023,Cybersecurity,"San Francisco, CA",Post-IPO
ForeScout Technologies,FSCT,100,0.1,1/10/2023,Cybersecurity,"San Jose, CA",Acquired
SecureWorks,SCWX,300,0.15,8/14/2023,Cybersecurity,"Atlanta, GA",Post-IPO
SecureWorks,SCWX,212,0.09,2/7/2023,Cybersecurity,"Atlanta, GA",Post-IPO
Matterport,MTTR,170,0.3,7/11/2023,Data,"San Francisco, CA",Post-IPO
Nutanix,NTNX,270,0.04,8/10/2022,Data,"San Jose, CA",Post-IPO
Integral Ad Science,IAS,120,0.13,12/7/2022,Data,"New York City, NY",Acquired
Instacart,CART,250,0.07,2/13/2024,Services,"San Francisco, CA",Unknown
Kaltura,KLTR,75,0.11,1/4/2023,Software,"New York City, NY",Post-IPO
GitLab,GTLB,130,0.35,2/9/2023,Software,"San Francisco, CA",Post-IPO
Outbrain,OB,90,0.1,6/1/2023,Business,"New York City, NY",Post-IPO
Outbrain,OB,38,0.03,7/26/2022,Business,"New York City, NY",Post-IPO
Amazon,AMZN,400,NA,2/6/2024,Business,"Seattle, WA",Post-IPO
Amazon,AMZN,30,NA,1/18/2024,Business,"Seattle, WA",Post-IPO
Etsy,ETSY,225,0.11,12/13/2023,Business,"Brooklyn, NY",Post-IPO
Chewy,CHWY,200,NA,11/14/2023,Business,"Plantation, FL",Post-IPO
Stitch Fix,SFIX,558,NA,10/9/2023,Business,"San Francisco, CA",Post-IPO
Shopify,SHOP,1000,0.1,7/26/2022,Business,"San Francisco, CA",Post-IPO
Zulily,ZU,99,0.1,5/16/2022,Business,"Seattle, WA",Acquired
Vroom,VRM,800,0.9,1/23/2024,Auto,"New York City, NY",Post-IPO
Enjoy,ENJOY.SN,400,0.18,6/30/2022,Business,"Palo Alto, CA",Post-IPO
The RealReal,REAL,230,0.07,2/16/2023,Business,"San Francisco, CA",Post-IPO
Warby Parker,WRBY,63,NA,8/8/2022,Business,"New York City, NY",Post-IPO
Stitch Fix,SFIX,330,0.15,6/9/2022,Business,"San Francisco, CA",Post-IPO
Wish,WISH,152,0.17,9/12/2023,Business,"San Francisco, CA",Post-IPO
Wish,WISH,160,NA,8/2/2023,Business,"San Francisco, CA",Post-IPO
Wish,WISH,150,NA,1/31/2023,Business,"San Francisco, CA",Post-IPO
eBay,EBAY,500,0.04,2/7/2023,Business,"San Jose, CA",Post-IPO
Groupon,GRPN,500,NA,1/30/2023,Business,"Chicago, IL",Post-IPO
Wayfair,W,1750,0.1,1/20/2023,Business,"Boston, MA",Post-IPO
Wayfair,W,870,0.05,8/19/2022,Business,"Boston, MA",Post-IPO
Groupon,GRPN,500,NA,8/8/2022,Business,"Chicago, IL",Post-IPO
Amazon,AMZN,180,NA,11/13/2023,Business,"Seattle, WA",Post-IPO
Amazon,AMZN,80,NA,7/13/2023,Business,"Seattle, WA",Post-IPO
Riskified,RSKD,40,0.06,2/13/2024,Business,"New York City, NY",Post-IPO
Pluralsight,PS,400,0.2,12/12/2022,Education,"Salt Lake City, UT",Acquired
WalkMe,WKME,112,0.1,4/19/2023,Education,"San Francisco, CA",Post-IPO
WalkMe,WKME,43,0.03,1/8/2023,Education,"San Francisco, CA",Post-IPO
DocuSign,DOCU,440,0.06,2/6/2024,Services,"San Francisco, CA",Post-IPO
